day,temperature_2m,apparent_temperature,et0_fao_evapotranspiration,soil_temperature_0_to_7cm
2023-12-16,28.165583,32.99774,0.16504265,29.1135
2023-12-17,28.56975,33.62273,0.17450516,29.4135
2023-12-18,27.921831,32.679523,0.16083892,28.867666
2023-12-19,28.130165,31.724237,0.18457173,28.78225
2023-12-20,28.013498,30.534912,0.19127004,28.630165
2023-12-21,27.86975,29.702372,0.21887475,28.65725
2023-12-22,27.440582,28.825785,0.19743812,28.20725
2023-12-23,26.378082,28.204882,0.13194625,27.190582
2023-12-24,26.651,29.02147,0.13966249,27.178083
2023-12-25,26.280167,28.648016,0.17878276,27.286415
2023-12-26,26.736414,30.666428,0.17655188,27.434332
2023-12-27,27.480165,32.359234,0.15740055,27.840582
2023-12-28,28.278084,33.275875,0.1621462,28.605165
2023-12-29,28.223915,33.80241,0.16026217,28.590582
2023-12-30,28.0385,33.209515,0.16699527,28.573915
2023-12-31,28.34475,33.133144,0.16573296,28.934334
2024-01-01,28.044748,33.10867,0.16754125,28.676
2024-01-02,28.073915,33.056774,0.17066784,28.817665
2024-01-03,28.09475,32.67686,0.17097022,28.888498
2024-01-04,27.642668,31.62752,0.17971356,28.569748
2024-01-05,27.103083,31.648933,0.14783296,27.998917
2024-01-06,27.973915,32.670494,0.169809,28.605165
2024-01-07,27.838501,32.69425,0.15666072,28.651
2024-01-08,27.405167,32.195026,0.14283624,28.251
2024-01-09,27.873917,32.587097,0.16709465,28.59475
2024-01-10,28.003082,32.529194,0.1672961,28.759333
2024-01-11,27.559334,31.317053,0.17106254,28.561417
2024-01-12,26.994751,30.616766,0.19330586,28.180166
2024-01-13,26.55725,30.095873,0.18759646,27.684332
2024-01-14,25.655167,29.149178,0.13061047,26.640581
2024-01-15,27.253082,30.831991,0.17675124,27.834333
2024-01-16,27.3635,31.402685,0.17148785,28.196833
2024-01-17,27.528082,31.5992,0.16726756,28.392668
2024-01-18,27.569748,31.498056,0.16404532,28.636415
2024-01-19,27.413498,31.290443,0.17817165,28.523916
2024-01-20,27.196833,31.02759,0.1584993,28.2385
2024-01-21,26.853083,30.766516,0.12926345,27.798914
2024-01-22,27.742666,31.472433,0.16602637,28.298914
2024-01-23,28.173918,31.850449,0.19437702,29.171831
2024-01-24,27.848915,31.697327,0.18011133,29.009333
2024-01-25,27.84475,31.539255,0.19066246,29.155167
2024-01-26,27.146833,30.839865,0.19629188,28.526
2024-01-27,26.99475,30.529928,0.18178886,28.346832
2024-01-28,27.548918,30.74092,0.19535448,28.759333
2024-01-29,28.098917,31.213488,0.19332321,29.198915
2024-01-30,27.853083,31.011919,0.20294845,29.19475
2024-01-31,27.923918,31.59189,0.17819397,29.138498
2024-02-01,27.926,31.96737,0.17210324,29.071833
2024-02-02,27.503082,31.486565,0.1741714,28.734331
2024-02-03,28.090584,32.063976,0.18687825,29.009333
2024-02-04,28.080168,32.50983,0.17773534,29.026
2024-02-05,27.803083,32.250393,0.17999582,28.821833
2024-02-06,28.0635,32.462463,0.1913432,29.0635
2024-02-07,27.842667,32.142822,0.16901995,28.78225
2024-02-08,27.030167,31.114988,0.15554732,28.075998
2024-02-09,28.036415,32.643192,0.18007062,28.753082
2024-02-10,28.2135,32.136047,0.20093064,29.192665
2024-02-11,27.490583,30.160814,0.21125646,28.671835
2024-02-12,27.305166,30.12649,0.21852064,28.669748
2024-02-13,28.465584,31.948685,0.2090671,29.11975
2024-02-14,29.153084,32.85855,0.19602035,29.921831
2024-02-15,29.242666,32.507236,0.20597953,30.217667
2024-02-16,28.94475,32.207634,0.21380518,30.426
2024-02-17,28.24475,31.213638,0.23013403,30.053083
2024-02-18,28.665583,32.26375,0.21695478,30.013498
2024-02-19,28.39475,32.1316,0.19561833,29.659332
2024-02-20,27.559334,31.466349,0.18620116,28.811417
2024-02-21,27.723915,32.031097,0.17617936,28.586416
2024-02-22,27.978083,32.033897,0.20035957,28.948915
2024-02-23,28.405167,32.450706,0.20672806,29.240583
2024-02-24,28.948915,33.072453,0.20764108,29.765581
2024-02-25,29.06975,33.034252,0.19851242,30.021833
2024-02-26,29.646833,33.272392,0.23858862,30.876
2024-02-27,28.990583,32.911606,0.19280128,30.46975
2024-02-28,29.117666,32.276505,0.22922425,30.840584
2024-02-29,29.165583,31.971498,0.23376453,30.621834
2024-03-01,29.34475,33.281693,0.18900506,30.453085
2024-03-02,29.328081,33.6094,0.19325519,30.471832
2024-03-03,28.917665,32.92912,0.22114484,30.196833
2024-03-04,28.298918,32.551586,0.20080735,29.65725
2024-03-05,28.64475,33.472454,0.18612851,29.763498
2024-03-06,28.859331,33.70016,0.18887317,29.923918
2024-03-07,28.9635,33.18439,0.19833724,29.990583
2024-03-08,29.692665,33.23457,0.26117474,30.565582
2024-03-09,29.4135,33.10648,0.21300006,30.571833
